,name,amount,price,reviews,cost_per_ml
684,Guerlain Habit Rouge  ,150,68.51,8.0,0.4567333333333334
685,Rasasi La Yuqawam Pour Homme  ,75,37.01,8.0,0.49346666666666666
686,Carolina Herrera Bad Boy Le  ,150,83.95,6.4,0.5596666666666666
687,Amouage Myths Man  ,50,119.95,8.1,2.399
689,Tumi 19 Degree  ,100,240.2,8.1,2.4019999999999997
691,Versace Dylan Blue  ,200,61.95,7.7,0.30975
692,Giorgio Armani Code Elixir  ,50,75.2,8.1,1.504
693,Cerruti 1881 Men  ,25,13.49,7.3,0.5396
694,"Lacoste Eau De L.12,12 Noir  ",100,37.6,5.9,0.376
695,Dolce & Gabbana Intenso Pour Homme  ,125,44.99,7.3,0.35992
696,Jimmy Choo Man Blue  ,100,26.1,6.1,0.261
697,Hugo Boss Bottled Oud Saffron  ,100,185.0,7.7,1.85
698,Giorgio Armani Code  ,125,86.25,7.6,0.69
699,Givenchy Gentleman Society Ambrée  ,60,59.12,7.9,0.9853333333333333
700,Floris Elite  ,50,46.37,7.7,0.9274
701,Valentino Uomo  ,100,60.95,8.3,0.6095
702,Rabanne Pour Homme  ,50,26.99,7.7,0.5398
704,Jimmy Choo Man  ,30,19.8,7.5,0.66
706,Hugo Boss Hugo Man  ,75,24.45,6.8,0.326
707,Dolce & Gabbana Light Blue Pour Homme  ,75,38.95,7.6,0.5193333333333334
708,Abercrombie & Fitch Authentic Self Men  ,100,13.95,7.7,0.13949999999999999
709,Cristiano Ronaldo CR7 Game On  ,50,13.9,7.5,0.278
710,Rasasi Al Wisam Day  ,100,21.98,7.4,0.2198
711,Giorgio Armani Code Profumo  ,60,304.49,7.8,5.074833333333333
712,Narciso Rodriguez For Him Bleu Noir  ,100,42.95,7.6,0.42950000000000005
713,Prada Luna Rossa Carbon  ,150,93.6,7.8,0.624
714,Ralph Lauren Polo Blue  ,125,66.45,7.1,0.5316000000000001
715,Mercedes Benz Select Night  ,100,34.38,8.0,0.34380000000000005
716,Jean Paul Gaultier Scandal Le  Him  ,50,54.91,7.8,1.0981999999999998
717,Lattafa Maahir Legacy  ,100,22.99,7.5,0.2299
718,Giorgio Armani Code  ,125,92.69,7.6,0.74152
719,Acqua Di Parma Sandalo  ,100,169.1,7.6,1.6909999999999998
721,Dior Dune Pour Homme  ,100,88.4,7.7,0.884
722,Jimmy Choo Urban Hero  ,100,28.6,6.3,0.28600000000000003
723,Giorgio Armani Acqua di Giò Profondo  ,100,75.99,7.6,0.7598999999999999
725,Al Haramain L'Aventure  ,200,70.17,7.8,0.35085
726,Ralph Lauren Polo Red  ,75,29.99,6.5,0.39986666666666665
729,Rabanne 1 Million Royal  ,200,116.95,7.7,0.58475
730,Adidas Active Bodies Concentrate  ,100,21.62,7.8,0.2162
731,Michael Kors Extreme Journey  ,50,24.99,7.2,0.49979999999999997
732,Yves Saint Laurent M7  ,80,61.61,7.9,0.770125
733,L'Occitane Lavande Poivre Noir  ,50,51.87,7.7,1.0373999999999999
734,Azzaro Chrome  ,100,46.99,6.9,0.46990000000000004
735,Atkinsons 24 Old Bond Street Triple Extract  ,100,88.34,7.7,0.8834000000000001
736,Mercedes Benz Le   ,120,28.4,8.1,0.23666666666666666
737,Versace Eau Fraiche Extreme  ,200,93.95,7.2,0.46975
738,Guerlain Homme  ,100,57.9,8.4,0.579
739,Givenchy Gentleman  ,100,43.8,8.3,0.43799999999999994
